task id resource fire_time start_time end_time time execution_time upload_time cpu memory
mDiffFit 671 fargate 201928 255531 256222 691 600 16 70 05 2
mDiffFit 1362 fargate 202366 256003 256741 738 674 13 48 05 2
mDiffFit 1391 fargate 202513 256803 257634 831 772 14 41 05 2
mProject 1616 fargate 192191 245131 259718 14587 224 14180 180 05 2
mProject 1728 fargate 182417 230401 256557 26156 189 25784 180 05 2
mProject 3451 fargate 181828 238845 264897 26052 217 25587 244 05 2
mProject 1698 fargate 192731 246390 264021 17631 139 17188 237 05 2
mProject 3291 fargate 181813 235178 260752 25574 227 25095 248 05 2
mProject 1696 fargate 182442 235228 261521 26293 198 25816 275 05 2
mProject 43 fargate 182184 236497 262116 25619 217 25108 290 05 2
mProject 3450 fargate 182152 235416 261505 26089 275 25527 280 05 2
mProject 180 fargate 182349 235462 261650 26188 202 25725 258 05 2
mProject 181 fargate 182352 235818 261907 26089 191 25611 283 05 2
mProject 167 fargate 132025 205041 263256 58215 222 57690 297 05 2
mDiffFit 1366 fargate 211940 264682 265404 722 664 12 43 05 2
mDiffFit 4407 fargate 212445 264731 265465 734 607 75 47 05 2
mDiffFit 1371 fargate 212774 268148 268872 724 609 12 100 05 2
mProject 1773 fargate 191889 245605 266816 21211 194 20810 203 05 2
mProject 19 fargate 191818 244629 270460 25831 228 25372 227 05 2
mProject 122 fargate 192357 246627 265949 19322 178 19010 130 05 2
mProject 1789 fargate 192555 243197 269152 25955 171 25528 252 05 2
mProject 123 fargate 192359 245735 271519 25784 186 25208 386 05 2
mProject 1804 fargate 192457 246051 267005 20954 222 20502 226 05 2
mProject 3356 fargate 202432 255663 273365 17702 191 17310 196 05 2
mProject 246 fargate 202564 256664 271351 14687 402 14106 175 05 2
mProject 228 fargate 192431 246688 272542 25854 186 25431 234 05 2
mDiffFit 1392 fargate 221904 275986 276724 738 691 14 29 05 2
mDiffFit 278 fargate 222202 275949 276601 652 600 13 34 05 2
mDiffFit 328 fargate 222437 276433 277242 809 692 13 99 05 2
mProject 1705 fargate 201860 255300 276169 20869 193 20496 175 05 2
mProject 1786 fargate 202174 255679 281582 25903 182 25453 263 05 2
