task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 173 lambda-128 13358 161956 148598 1615849059186 1615849095327 36141 63 35859 219 lambda-128
ellipsoids-openmp 155 lambda-128 13345 161466 148121 1615849035797 1615849065880 30083 91 29800 192 lambda-128
ellipsoids-openmp 112 lambda-128 13315 162088 148773 1615849043003 1615849082134 39131 760 38100 271 lambda-128
ellipsoids-openmp 89 lambda-128 13288 162128 148840 1615849029986 1615849068589 38603 88 38300 215 lambda-128
ellipsoids-openmp 129 lambda-128 13327 162155 148828 1615849046858 1615849077978 31120 759 30101 260 lambda-128
ellipsoids-openmp 149 lambda-128 13341 162196 148855 1615849053938 1615849091504 37566 779 36520 267 lambda-128
ellipsoids-openmp 35 lambda-128 13224 162222 148998 1615849061067 1615849090902 29835 87 29540 208 lambda-128
ellipsoids-openmp 152 lambda-128 13343 162328 148985 1615849061010 1615849096447 35437 93 35080 264 lambda-128
ellipsoids-openmp 177 lambda-128 13361 162393 149032 1615849058344 1615849096484 38140 759 37100 281 lambda-128
ellipsoids-openmp 179 lambda-128 13363 162440 149077 1615849061469 1615849090862 29393 376 28800 217 lambda-128
ellipsoids-openmp 176 lambda-128 13360 162374 149014 1615849060156 1615849095557 35401 78 35099 224 lambda-128
ellipsoids-openmp 180 lambda-128 13364 162462 149098 1615849062141 1615849096893 34752 108 34460 184 lambda-128
ellipsoids-openmp 96 lambda-128 13294 162659 149365 1615849038866 1615849069705 30839 81 30541 217 lambda-128
ellipsoids-openmp 108 lambda-128 13312 162664 149352 1615849025049 1615849061870 36821 779 35762 280 lambda-128
ellipsoids-openmp 126 lambda-128 13325 162721 149396 1615849040887 1615849078067 37180 779 36100 301 lambda-128
ellipsoids-openmp 30 lambda-128 13218 162741 149523 1615849038682 1615849067882 29200 740 28200 260 lambda-128
ellipsoids-openmp 194 lambda-128 13374 162793 149419 1615849069166 1615849104284 35118 98 34800 220 lambda-128
ellipsoids-openmp 193 lambda-128 13373 162788 149415 1615849073492 1615849105911 32419 759 31321 339 lambda-128
ellipsoids-openmp 131 lambda-128 13329 162803 149474 1615849043720 1615849072034 28314 113 27960 241 lambda-128
ellipsoids-openmp 133 lambda-128 13330 162797 149467 1615849045902 1615849075028 29126 98 28801 227 lambda-128
ellipsoids-openmp 196 lambda-128 13375 162855 149480 1615849077454 1615849113770 36316 83 36021 212 lambda-128
ellipsoids-openmp 145 lambda-128 13338 162843 149505 1615849040991 1615849071793 30802 99 30481 222 lambda-128
ellipsoids-openmp 135 lambda-128 13331 162875 149544 1615849040254 1615849075272 35018 117 34721 180 lambda-128
ellipsoids-openmp 197 lambda-128 13376 162877 149501 1615849081688 1615849118258 36570 88 36263 219 lambda-128
ellipsoids-openmp 151 lambda-128 13343 162879 149536 1615849057458 1615849093273 35815 83 35381 351 lambda-128
ellipsoids-openmp 201 lambda-128 13379 162880 149501 1615849081020 1615849111284 30264 87 29921 256 lambda-128
ellipsoids-openmp 150 lambda-128 13342 162883 149541 1615849047515 1615849084048 36533 82 36221 230 lambda-128
ellipsoids-openmp 204 lambda-128 13381 162906 149525 1615849081484 1615849116804 35320 120 35001 199 lambda-128
ellipsoids-openmp 37 lambda-128 13226 119523 106297 1615849039947 1615849071906 31959 759 30919 281 lambda-128
ellipsoids-openmp 207 lambda-128 13416 162917 149501 1615849064937 1615849104499 39562 761 38481 320 lambda-128
ellipsoids-openmp 203 lambda-128 13380 162885 149505 1615849063349 1615849100973 37624 223 37181 220 lambda-128
ellipsoids-openmp 213 lambda-128 13420 162947 149527 1615849086110 1615849124450 38340 140 37941 259 lambda-128
ellipsoids-openmp 164 lambda-128 13352 162944 149592 1615849048385 1615849078916 30531 165 30140 226 lambda-128
ellipsoids-openmp 40 lambda-128 13230 162930 149700 1615849064416 1615849104792 40376 760 39341 275 lambda-128
ellipsoids-openmp 222 lambda-128 13426 162956 149530 1615849075195 1615849104103 28908 94 28601 213 lambda-128
ellipsoids-openmp 156 lambda-128 13346 162953 149607 1615849037709 1615849075109 37400 780 36280 340 lambda-128
ellipsoids-openmp 31 lambda-128 13220 162950 149730 1615849066675 1615849105007 38332 101 38000 231 lambda-128
ellipsoids-openmp 32 lambda-128 13221 162963 149742 1615849072236 1615849103623 31387 760 30320 307 lambda-128
ellipsoids-openmp 221 lambda-128 13425 162969 149544 1615849071205 1615849109778 38573 107 38280 186 lambda-128
ellipsoids-openmp 220 lambda-128 13424 162972 149548 1615849070608 1615849110708 40100 759 39001 340 lambda-128
ellipsoids-openmp 227 lambda-128 13429 162975 149546 1615849072132 1615849102953 30821 760 29781 280 lambda-128
ellipsoids-openmp 166 lambda-128 13353 162978 149625 1615849052748 1615849084071 31323 740 30301 282 lambda-128
ellipsoids-openmp 229 lambda-128 13431 162995 149564 1615849078601 1615849109054 30453 68 30160 225 lambda-128
ellipsoids-openmp 174 lambda-128 13359 119802 106443 1615849049409 1615849084542 35133 85 34820 228 lambda-128
ellipsoids-openmp 93 lambda-128 13292 119737 106445 1615849039186 1615849077776 38590 98 38241 251 lambda-128
ellipsoids-openmp 226 lambda-128 13428 162981 149553 1615849078307 1615849117121 38814 126 38455 233 lambda-128
ellipsoids-openmp 242 lambda-128 13442 163018 149576 1615849077110 1615849108871 31761 279 31281 201 lambda-128
ellipsoids-openmp 235 lambda-128 13436 163007 149571 1615849090555 1615849121500 30945 740 29881 324 lambda-128
ellipsoids-openmp 249 lambda-128 13447 163050 149603 1615849075954 1615849113026 37072 91 36800 181 lambda-128
ellipsoids-openmp 234 lambda-128 13435 163052 149617 1615849091154 1615849122438 31284 100 30980 204 lambda-128
ellipsoids-openmp 170 lambda-128 13355 163042 149687 1615849051167 1615849080236 29069 380 28500 189 lambda-128
ellipsoids-openmp 172 lambda-128 13357 163034 149677 1615849065272 1615849096833 31561 739 30600 222 lambda-128
ellipsoids-openmp 252 lambda-128 13449 163058 149609 1615849080688 1615849119911 39223 116 38880 227 lambda-128
ellipsoids-openmp 92 lambda-128 13291 163271 149980 1615849036816 1615849075465 38649 88 38322 239 lambda-128
ellipsoids-openmp 118 lambda-128 13319 163067 149748 1615849023328 1615849053847 30519 779 29419 321 lambda-128
ellipsoids-openmp 119 lambda-128 13319 163375 150056 1615849043084 1615849081358 38274 759 37141 374 lambda-128
ellipsoids-openmp 116 lambda-128 13317 163269 149952 1615849044663 1615849076155 31492 86 31179 227 lambda-128
ellipsoids-openmp 130 lambda-128 13328 163353 150025 1615849045559 1615849082409 36850 178 36431 241 lambda-128
ellipsoids-openmp 142 lambda-128 13336 163409 150073 1615849048935 1615849079561 30626 113 30320 193 lambda-128
ellipsoids-openmp 132 lambda-128 13329 163400 150071 1615849040205 1615849078064 37859 798 36800 261 lambda-128
ellipsoids-openmp 141 lambda-128 13335 163443 150108 1615849048310 1615849078441 30131 259 29661 211 lambda-128
ellipsoids-openmp 188 lambda-128 13369 126174 112805 1615849054329 1615849084870 30541 109 30260 172 lambda-128
